2024-10-24 18:07:30 [main] INFO  Utils.Log - Initializing WebDriver...
2024-10-24 18:07:32 [main] INFO  Utils.Log - Navigating to URL: https://test.salesforce.com/
2024-10-24 18:07:46 [main] INFO  Utils.Log - Entering the EmpID ZT33453
2024-10-24 18:07:49 [main] INFO  Utils.Log - Entering Emp Mail To user93cb4@gmail.com
2024-10-24 18:07:49 [main] INFO  Utils.Log - Clicking on save Button
2024-10-24 18:07:54 [main] INFO  Utils.Log - Entering the EmpID ZT33453
2024-10-24 18:07:56 [main] INFO  Utils.Log - Entering Emp Mail user93cb4@gmail.com
2024-10-24 18:07:56 [main] INFO  Utils.Log - Clicking on save&New Button
2024-10-24 18:08:01 [main] INFO  Utils.Log - Changing the EmpID to ZT33453
2024-10-24 18:08:03 [main] INFO  Utils.Log - Entering Emp Mail user93cb4@gmail.com
2024-10-24 18:08:03 [main] INFO  Utils.Log - Clicking on Cancel Button
2024-10-24 18:08:05 [main] INFO  Utils.Log - Element is Visible.
2024-10-24 18:08:07 [main] INFO  Utils.Log - Checking Ojas is present in thr Employee List
2024-10-24 18:08:09 [main] INFO  Utils.Log - User Found
2024-10-24 18:08:09 [main] INFO  Utils.Log - Click On Edit Button Present In Employee Page
2024-10-24 18:08:11 [main] INFO  Utils.Log - Changing the EmpID to ZT33453
2024-10-24 18:08:11 [main] INFO  Utils.Log - Changing Emp Mail To user93cb4@gmail.com
2024-10-24 18:08:11 [main] INFO  Utils.Log - Clicking on save Button
2024-10-24 18:08:12 [main] INFO  Utils.Log - Verifying Employee ID
2024-10-24 18:08:12 [main] INFO  Utils.Log - Verifying EmailID 
2024-10-24 18:08:13 [main] INFO  Utils.Log - Element is Visible.
2024-10-24 18:08:14 [main] INFO  Utils.Log - Checking Ojas is present in thr Employee List
2024-10-24 18:08:16 [main] INFO  Utils.Log - User Found
2024-10-24 18:08:16 [main] INFO  Utils.Log - Click On Edit Button Present In Employee Page
2024-10-24 18:08:16 [main] INFO  Utils.Log - Changing LastName
2024-10-24 18:08:17 [main] INFO  Utils.Log - Changing Cost
2024-10-24 18:08:17 [main] INFO  Utils.Log - Checking Pooja is present in thr Employee List
2024-10-24 18:08:20 [main] INFO  Utils.Log - Checking banu is present in thr Employee List
2024-10-24 18:08:23 [main] INFO  Utils.Log - User Found
2024-10-24 18:08:23 [main] INFO  Utils.Log - Element is clickable.
2024-10-24 18:08:24 [main] INFO  Utils.Log - Checking banu is present in thr Employee List
2024-10-24 18:08:26 [main] INFO  Utils.Log - User Found
2024-10-24 18:08:26 [main] INFO  Utils.Log - Element is clickable.
2024-10-24 18:08:26 [main] INFO  Utils.Log - Closing WebDriver...
